SEQ,MNAME,PRICE,MYEAR,MILEAGE,COLOR,TRANS,F_TYPE,DISP,VTYPE,VNUM,CU_HIS,MVD_HIS,AVD_HIS,FD_HIS,VT_HIS,US_HIS,L_NAME
6349,현대 에쿠스(신형) VS380 모던,650,2013,234985,검정,오토,가솔린,3778,대형,33오2966,1,0,0,0,0,3,현대 에쿠스
6350,현대 쏘나타 하이브리드 (DN8) 2.0 하이브리드 인스퍼레이션,3000,2022,13000,흰색,오토,하이브리드(가솔린),2000,중형,355모8777,0,0,0,0,0,0,기아 레이
6351,현대 스타리아 2.2 투어러 9 AWD 모던,3250,2021,44954,회색,오토,디젤,2199,승합,314노8397,0,0,0,0,0,0,현대 스타리아
6352,현대 그랜저HG HG220 디젤 프리미엄,890,2015,162000,검정색,오토,디젤,2199,대형,25거3189,1,0,0,0,0,4,현대 그랜저
6353,현대 올 뉴 투싼 디젤(e-VGT R)2.0 2WD 스타일 스페셜,1399,2016,117434,회색,오토,디젤,1995,SUV,22로0816,0,0,0,0,0,0,현대 투싼
6354,현대 올 뉴 투싼 디젤(e-VGT R)2.0 2WD 모던,1340,2015,70157,흰색,오토,디젤,1995,SUV,53라3294,0,0,0,0,0,0,현대 투싼
6355,현대 뉴 투싼 ix 디젤(e-VGT)2WD 모던,990,2014,61656,회색,오토,디젤,2191,SUV,26고7396,0,0,0,0,0,3,현대 투싼
6356,현대 그랜저IG 3.0 익스클루시브 기본형,1850,2017,89610,회색,오토,가솔린,2999,대형,14우9892,0,0,0,0,0,1,현대 그랜저
6357,현대 더 뉴 팰리세이드 3.8 가솔린 4WD 캘리그래피,4900,2022,27000,흰색,오토,가솔린,3778,SUV,113도5780,0,0,0,0,0,1,현대 팰리세이드
6358,현대 포터2 초장축 하이내장탑차 슈퍼캡 SUP,690,2014,391102,흰색,오토,디젤,2497,트럭,805러9811,1,0,0,0,0,4,현대 포터
6359,현대 싼타페 TM 디젤 2.0 2WD 익스클루시브,2299,2018,49505,회색,오토,디젤,1995,SUV,56저1123,0,0,0,0,0,2,현대 싼타페
6360,현대 더 뉴 그랜드 스타렉스 밴 3인승 스타일,1749,2019,41270,흰색,오토,디젤,3000,승합,88더7031,0,0,0,0,0,1,현대 스타렉스
